Designator,Comment,Footprint,Mid X,Mid Y,Layer,Rotation,
C13,1uF,Tant0805,29.337mm,-27.432mm,B,270,
C14,0.1uF,402,28.067mm,-27.432mm,B,90,
C17,0.1uF,402,46.482mm,-1.651mm,B,180,
C19,0.1uF,402,32.893mm,-2.032mm,B,270,
D1,LED_0603,Diode0603,3.81mm,-26.289mm,B,360,
D2,LED_0603,Diode0603,6.731mm,0mm,B,180,
D3,LED_0603,Diode0603,2.667mm,0mm,B,180,
P1,microUSB-vert,MICROUSB-VERT,18.064mm,-22.5684mm,B,360,
P10,Surface Pads,Surface_Pads_5_x_2mm,25.4mm,-12.89mm,B,180,
P14,Header 5,HDR1X5,-5.207mm,-14.732mm,B,90,
P2,microSD-Molex,microSD_Molex_hinged,17.907mm,-12.7254mm,B,180,
P4,DIP1,DIP1,8.509mm,-14.3764mm,B,90,
P5,Tactile,Tactile-B3U-1000,17.78mm,-4.572mm,B,360,
R12,100x,3-0603,31.623mm,-28.321mm,B,180,
R4,omit,3-0603,11.557mm,-21.7424mm,B,180,
R6,330X,3-0603,4.699mm,-28.067mm,B,180,
U10,MS5837,MS5837,30.115mm,-1.381mm,B,180,
U4,Keller7LD,Keller7LD,41.148mm,-19.685mm,B,180,
U7,RGB light,ODFN,31.496mm,-26.543mm,B,360,
U8,MS5803_Press,MS5803_Press,41.029mm,-2.291mm,B,360,
*1,8MHz,XTAL-ABM3,33.782mm,-14.224mm,T,270,
*2,32.768kHz,XTAL-ABS06,39.878mm,-1.143mm,T,90,
C1,0.1uF,402,0.762mm,-1.397mm,T,180,
C10,1uF,Tant0805,4.7244mm,-4.191mm,T,270,
C11,10nF,402,49.403mm,-1.016mm,T,180,
C12,0.1uF,402,41.275mm,-18.161mm,T,90,
C15,0.1uF,402,18.161mm,-6.223mm,T,360,
C16,10nF,402,14.351mm,-2.159mm,T,180,
C18,0.1uF,402,14.478mm,-3.556mm,T,360,
C2,100pF,402,31.75mm,-10.541mm,T,270,
C20,1uF,Tant0805,38.989mm,-25.527mm,T,180,
C3,100pF,402,31.75mm,-17.526mm,T,90,
C4,0.1uF,402,46.609mm,-11.684mm,T,0,
C5,1uF,Tant0805,0.254mm,-25.146mm,T,90,
C6,1uF,Tant0805,2.667mm,-20.574mm,T,180,
C7,1uF,Tant0805,0.381mm,-8.255mm,T,270,
C8,10uF,Tant0805,0.6604mm,-4.191mm,T,270,
C9,0.1uF,402,1.778mm,-4.191mm,T,90,
P11,Header 5,HDR1X5,-5.7511mm,-6.0051mm,T,225,
P12,Burn,BURN,-5.635mm,-14.3764mm,T,180,
P15,Header 4,HDR1X4,54.864mm,-5.461mm,T,90,
P6,Header 2,HDR1X2,54.991mm,-13.589mm,T,90,
P7,AVR SPI,HDR2X3,51.308mm,-20.066mm,T,90,
P8,Header 2,HDR1X2,-3.819mm,-24.248mm,T,135,
P9,Header 3,HDR1X3,55.118mm,-22.352mm,T,270,
P99,Header 9,HDR1X9,45.212mm,-28.067mm,T,360,
Q1,DMN5L06TK-7,SOT-523,51.943mm,-12.192mm,T,0,
Q2,DMN5L06TK-7,SOT-523,-8.382mm,-18.542mm,T,180,
R1,4.7k,3-0603,52.197mm,-7.366mm,T,270,
R10,100k,3-0603,46.482mm,-10.033mm,T,180,
R11,4.7k,3-0603,34.671mm,-2.032mm,T,90,
R13,33k,3-0603,49.276mm,-26.035mm,T,180,
R14,100k,3-0603,52.451mm,-26.035mm,T,180,
R2,4.7k,3-0603,52.197mm,-2.032mm,T,90,
R3,10k,3-0603,51.689mm,-14.859mm,T,180,
R5,2k,3-0603,6.223mm,-23.622mm,T,270,
R7,330,3-0603,6.731mm,0mm,T,180,
R8,330,3-0603,2.794mm,0mm,T,180,
R9,33k,3-0603,46.482mm,-8.763mm,T,360,
U1,ATmega8-16AC,32M1-A_M,40.767mm,-11.3284mm,T,0,
U2,MCP73831T-2DCI/OT,SOT-23-OT5_N,3.048mm,-23.495mm,T,270,
U3,LP3985IM5-3.3,MF05A_N,3.4544mm,-8.001mm,T,90,
U5,DS1342U,uSOP8,44.831mm,-1.905mm,T,360,
U9,MPU9250,MPU6500,18.2626mm,-3.048mm,T,270,
